Sijainti;Kohde;Matterport;Varaamo;Palvelukartta;Koordinaatit;;ID
Hertsin kirjasto Linnanrakentajantie 2 00880 Helsinki;Taideseinä Kattilagalleria;https://my.matterport.com/show/?m=oFbGb4LMqRY;https://varaamo.hel.fi/resources/awrchk56rcua;https://palvelukartta.hel.fi/fi/unit/8325;25.033434;60.194542;8325
Hertsin nuorisotila Linnanrakentajantie 2 00880 Helsinki;Sali;https://my.matterport.com/show/?m=9LpGZc1w5MG;https://varaamo.hel.fi/resources/awqkqfs4ppgq;https://palvelukartta.hel.fi/fi/unit/61900;25.033619;60.194183;61900
Hertsin nuorisotila Linnanrakentajantie 2 00880 Helsinki;Olotila + keittiö;https://my.matterport.com/show/?m=2BxcKnwLxAr;https://varaamo.hel.fi/resources/awqkqfs4ppgq;https://palvelukartta.hel.fi/fi/unit/61900;25.033619;60.194183;61900
Pukinmäen kirjasto Kenttäkuja 12 00720 Helsinki;Näyttelytila Sermit;https://my.matterport.com/show/?m=g8kLx4v3aRE;https://varaamo.hel.fi/resources/awzbrfvouxhq;https://palvelukartta.hel.fi/fi/unit/8232;24.990772;60.249966;8232
Pukinmäen kirjasto Kenttäkuja 12 00720 Helsinki;Näyttelytila Vitriini;https://my.matterport.com/show/?m=ybVip42RVDp;https://varaamo.hel.fi/resources/awzcsmbspmza;https://palvelukartta.hel.fi/fi/unit/8232;24.990772;60.249966;8232
Asukastila MELLARI Saariselänkuja 1 00970 Helsinki;Asukastila Mellari;https://my.matterport.com/show/?m=ZYvRnqXCfCg;https://varaamo.hel.fi/resources/awpf36tpcaxq;https://palvelukartta.hel.fi/fi/unit/61905;25.121157;60.23941;61905
Pitäjänmäen kirjasto Jousipolku 1 00370 Helsinki;Monitoimitila;https://my.matterport.com/show/?m=WPpSLGkoyP2;https://varaamo.hel.fi/resources/awquiteggsaq;https://palvelukartta.hel.fi/fi/unit/8292;24.86033;60.226818;8292
Pitäjänmäen nuorisotalo Jousipolku 1 C2;Sali;https://my.matterport.com/show/?m=QNWNKHm6ujB;https://varaamo.hel.fi/resources/awkjfxqw4w5q;https://palvelukartta.hel.fi/fi/unit/41241;24.860409;60.22612;41241
Paloheinän kirjasto Paloheinäntie 22 00670 Helsinki;Monitoimitila Sysi;https://my.matterport.com/show/?m=CHUApD3f3wh;https://varaamo.hel.fi/resources/awrdk4en3caq;https://palvelukartta.hel.fi/fi/unit/8362;24.94135;60.249065;8362
Kallion kirjasto Viides linja 11 00530 Helsinki;Ryhmätila Dekkarikirjasto;https://my.matterport.com/show/?m=W9AFZNiNL5B;https://varaamo.hel.fi/resources/au2tzfwtc34q;https://palvelukartta.hel.fi/fi/unit/8215;24.95356;60.18372;5215
Rikhardinkadun kirjasto Rikhardinkatu 3 00130 Helsinki;Satuhuone;https://my.matterport.com/show/?m=EGwUXFddub8;https://varaamo.hel.fi/resources/awmyakuvv4ka;https://palvelukartta.hel.fi/fi/unit/8154;24.946783;60.166336;8154
